Format Version,1.23,Take Name,ar_s5_t1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-07-22 12.48.09.749 PM,Total Frames in Take,3565,Total Exported Frames,3565,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,cart:org,cart:org,cart:org,cart:xvec,cart:xvec,cart:xvec,cart:zvec,cart:zvec,cart:zvec
,ID,"CFD431D7098F11ED20C8B848E857B3","CFD431D7098F11ED20C8B848E857B3","CFD431D7098F11ED20C8B848E857B3","CFD431D6098F11ED20C8B848E857B3","CFD431D6098F11ED20C8B848E857B3","CFD431D6098F11ED20C8B848E857B3","CFD431D5098F11ED20C8B848E857B3","CFD431D5098F11ED20C8B848E857B3","CFD431D5098F11ED20C8B848E857B3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
119,1.190000,-0.034579,0.149437,-0.003243,0.096529,0.150263,-0.015770,-0.013601,0.150123,0.075081
120,1.200000,-0.034593,0.149404,-0.003253,0.096507,0.150286,-0.015770,-0.013596,0.150123,0.075087
121,1.210000,-0.034589,0.149416,-0.003259,0.096525,0.150276,-0.015769,-0.013595,0.150131,0.075092
122,1.220000,-0.034589,0.149441,-0.003226,0.096524,0.150275,-0.015771,-0.013608,0.150116,0.075081
123,1.230000,-0.034594,0.149411,-0.003222,0.096528,0.150274,-0.015768,-0.013605,0.150115,0.075077
124,1.240000,-0.034572,0.149444,-0.003238,0.096539,0.150273,-0.015766,-0.013613,0.150116,0.075087
125,1.250000,-0.034608,0.149400,-0.003260,0.096519,0.150280,-0.015762,-0.013621,0.150091,0.075104
126,1.260000,-0.034588,0.149419,-0.003258,0.096527,0.150270,-0.015765,-0.013624,0.150097,0.075073
127,1.270000,-0.034590,0.149415,-0.003250,0.096515,0.150278,-0.015763,-0.013605,0.150133,0.075066
128,1.280000,-0.034590,0.149411,-0.003246,0.096525,0.150273,-0.015767,-0.013595,0.150128,0.075090
129,1.290000,-0.034574,0.149441,-0.003243,0.096522,0.150273,-0.015765,-0.013598,0.150122,0.075078
130,1.300000,-0.034573,0.149443,-0.003242,0.096519,0.150282,-0.015765,-0.013609,0.150111,0.075080
131,1.310000,-0.034551,0.149475,-0.003235,0.096524,0.150271,-0.015765,-0.013601,0.150125,0.075088
