Format Version,1.23,Take Name,cart_random_sync,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-22 12.22.57.287 PM,Total Frames in Take,2488,Total Exported Frames,2488,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,mecanum:org,mecanum:org,mecanum:org,mecanum:xdir,mecanum:xdir,mecanum:xdir,mecanum:zdir,mecanum:zdir,mecanum:zdir
,ID,"8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D81F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D83F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3","8A1E0D85F1F811EC20C8B848E84FB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
165,1.650000,0.186451,0.066552,0.243835,0.227563,0.064992,0.251831,0.169547,0.066379,0.345247
166,1.660000,0.186461,0.066564,0.243839,0.227569,0.065000,0.251844,0.169553,0.066393,0.345253
167,1.670000,0.186462,0.066563,0.243843,0.227572,0.065020,0.251834,0.169550,0.066379,0.345251
168,1.680000,0.186470,0.066565,0.243846,0.227578,0.065006,0.251834,0.169556,0.066380,0.345242
169,1.690000,0.186452,0.066557,0.243845,0.227556,0.065018,0.251849,0.169547,0.066381,0.345248
170,1.700000,0.186464,0.066546,0.243832,0.227565,0.065005,0.251837,0.169549,0.066393,0.345249
171,1.710000,0.186464,0.066563,0.243849,0.227568,0.065023,0.251843,0.169546,0.066377,0.345248
172,1.720000,0.186462,0.066571,0.243844,0.227565,0.065015,0.251840,0.169545,0.066385,0.345248
173,1.730000,0.186461,0.066549,0.243843,0.227573,0.065024,0.251841,0.169571,0.066398,0.345250
174,1.740000,0.186400,0.066477,0.243779,0.227564,0.065014,0.251851,0.169546,0.066385,0.345254
175,1.750000,0.186457,0.066557,0.243831,0.227568,0.065013,0.251833,0.169560,0.066387,0.345251
176,1.760000,0.186397,0.066471,0.243773,0.227580,0.065005,0.251839,0.169547,0.066382,0.345252
177,1.770000,0.186395,0.066476,0.243768,0.227572,0.065010,0.251831,0.169552,0.066391,0.345250
178,1.780000,0.186395,0.066473,0.243767,0.227564,0.065026,0.251840,0.169545,0.066380,0.345246
179,1.790000,0.186399,0.066486,0.243767,0.227560,0.065017,0.251843,0.169551,0.066388,0.345252
180,1.800000,0.186457,0.066577,0.243836,0.227568,0.065021,0.251839,0.169556,0.066376,0.345249
181,1.810000,0.186464,0.066571,0.243844,0.227562,0.065017,0.251842,0.169547,0.066376,0.345252
