Format Version,1.23,Take Name,linear_forward,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-06-14 03.03.52.098 PM,Total Frames in Take,2575,Total Exported Frames,2575,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,mecanum:center,mecanum:center,mecanum:center,mecanum:org,mecanum:org,mecanum:org,mecanum:xdir,mecanum:xdir,mecanum:xdir,mecanum:zdir,mecanum:zdir,mecanum:zdir
,ID,"5EB60F68EBC511ECBCE17DD2D9C84CB3","5EB60F68EBC511ECBCE17DD2D9C84CB3","5EB60F68EBC511ECBCE17DD2D9C84CB3","64B2A3DAEBC511ECBCE17DD2D9C84CB3","64B2A3DAEBC511ECBCE17DD2D9C84CB3","64B2A3DAEBC511ECBCE17DD2D9C84CB3","64B2A3DCEBC511ECBCE17DD2D9C84CB3","64B2A3DCEBC511ECBCE17DD2D9C84CB3","64B2A3DCEBC511ECBCE17DD2D9C84CB3","64B2A3DEEBC511ECBCE17DD2D9C84CB3","64B2A3DEEBC511ECBCE17DD2D9C84CB3","64B2A3DEEBC511ECBCE17DD2D9C84CB3"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
123,1.230000,0.045851,0.068819,-0.081549,0.003885,0.069192,-0.146123,0.083280,0.066836,-0.146651,0.005667,0.069265,-0.018592
124,1.240000,0.045861,0.068820,-0.081549,0.003872,0.069182,-0.146118,0.083281,0.066848,-0.146640,0.005696,0.069294,-0.018551
125,1.250000,0.045856,0.068824,-0.081552,0.003876,0.069186,-0.146125,0.083272,0.066846,-0.146640,0.005670,0.069255,-0.018596
126,1.260000,0.045849,0.068815,-0.081552,0.003884,0.069181,-0.146114,0.083270,0.066828,-0.146654,0.005671,0.069242,-0.018591
127,1.270000,0.045850,0.068817,-0.081548,0.003863,0.069149,-0.146152,0.083281,0.066843,-0.146640,0.005677,0.069260,-0.018590
128,1.280000,0.045853,0.068815,-0.081548,0.003892,0.069177,-0.146107,0.083280,0.066837,-0.146644,0.005676,0.069254,-0.018585
129,1.290000,0.045853,0.068819,-0.081550,0.003887,0.069174,-0.146120,0.083280,0.066841,-0.146642,0.005678,0.069265,-0.018586
130,1.300000,0.045859,0.068808,-0.081543,0.003893,0.069185,-0.146118,0.083282,0.066835,-0.146647,0.005676,0.069255,-0.018584
131,1.310000,0.045870,0.068811,-0.081542,0.003875,0.069172,-0.146120,0.083282,0.066826,-0.146642,0.005672,0.069242,-0.018592
132,1.320000,0.045859,0.068827,-0.081543,0.003899,0.069181,-0.146113,0.083280,0.066834,-0.146643,0.005681,0.069250,-0.018586
133,1.330000,0.045863,0.068801,-0.081548,0.003873,0.069170,-0.146113,0.083266,0.066828,-0.146633,0.005687,0.069243,-0.018586
134,1.340000,0.045858,0.068819,-0.081541,0.003882,0.069187,-0.146109,0.083281,0.066839,-0.146645,0.005691,0.069263,-0.018579
135,1.350000,0.045857,0.068828,-0.081541,0.003883,0.069172,-0.146120,0.083281,0.066835,-0.146648,0.005685,0.069265,-0.018586
136,1.360000,0.045854,0.068815,-0.081541,0.003878,0.069186,-0.146117,0.083264,0.066828,-0.146647,0.005680,0.069263,-0.018587
137,1.370000,0.045863,0.068808,-0.081540,0.003883,0.069182,-0.146112,0.083282,0.066838,-0.146637,0.005679,0.069249,-0.018595
138,1.380000,0.045852,0.068811,-0.081545,0.003885,0.069178,-0.146116,0.083278,0.066830,-0.146644,0.005671,0.069261,-0.018581
139,1.390000,0.045861,0.068807,-0.081538,0.003879,0.069163,-0.146121,0.083281,0.066829,-0.146639,0.005676,0.069235,-0.018585
140,1.400000,0.045851,0.068808,-0.081542,0.003883,0.069175,-0.146121,0.083282,0.066823,-0.146643,0.005681,0.069247,-0.018577
