sys_time,e_fr,e_fl,e_rr,e_rl,rtc,mils,sync
2022-06-23 09:53:17.646360,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83945,0
2022-06-23 09:53:17.646860,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83955,0
2022-06-23 09:53:17.646860,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83965,0
2022-06-23 09:53:17.714861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83975,0
2022-06-23 09:53:17.715365,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83985,0
2022-06-23 09:53:17.716363,-1,0,0,0,2019-01-01 05.31.23.000000 AM,83995,0
2022-06-23 09:53:17.716363,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84005,0
2022-06-23 09:53:17.716861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84015,0
2022-06-23 09:53:17.717362,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84025,0
2022-06-23 09:53:17.719361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84035,0
2022-06-23 09:53:17.804862,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84045,0
2022-06-23 09:53:17.805866,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84055,0
2022-06-23 09:53:17.806362,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84065,0
2022-06-23 09:53:17.806862,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84075,0
2022-06-23 09:53:17.807361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84085,0
2022-06-23 09:53:17.807861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84095,0
2022-06-23 09:53:17.807861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84105,0
2022-06-23 09:53:17.854871,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84115,0
2022-06-23 09:53:17.855861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84125,0
2022-06-23 09:53:17.856872,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84135,0
2022-06-23 09:53:17.856872,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84145,0
2022-06-23 09:53:17.857360,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84155,0
2022-06-23 09:53:17.857863,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84165,0
2022-06-23 09:53:17.858361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84175,0
2022-06-23 09:53:17.925862,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84185,0
2022-06-23 09:53:17.926362,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84195,0
2022-06-23 09:53:17.926862,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84205,0
2022-06-23 09:53:17.926862,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84215,0
2022-06-23 09:53:17.927362,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84225,0
2022-06-23 09:53:17.927861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84235,0
2022-06-23 09:53:17.927861,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84245,0
2022-06-23 09:53:17.999862,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84255,0
2022-06-23 09:53:18.000860,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84265,0
2022-06-23 09:53:18.000860,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84275,0
2022-06-23 09:53:18.002365,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84285,0
2022-06-23 09:53:18.002862,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84295,0
2022-06-23 09:53:18.003361,-1,0,0,0,2019-01-01 05.31.23.000000 AM,84305,0
2022-06-23 09:53:18.003361,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84315,0
2022-06-23 09:53:18.064863,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84325,0
2022-06-23 09:53:18.065363,-1,0,0,0,2019-01-01 05.31.24.000000 AM,84335,0
